Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
EE1,Construction,2021Q4,474,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q1,463,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q2,443,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q3,461,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q4,466,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2198,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2209,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2246,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2257,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q2,2309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2268,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q4,2313,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q1,2268,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q2,2279,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q3,2352,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q4,2326,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q1,2363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q2,2400,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q3,2424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q4,2414,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q1,2490,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q2,2472,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q3,2391,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q4,2513,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q1,2480,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q2,2514,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q3,2517,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q4,2518,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q1,2406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q2,1522,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q3,1724,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q4,1815,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1752,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1938,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1687,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1737,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q1,1822,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q2,1964,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q3,2085,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q4,2114,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1478,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q2,1489,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q3,1530,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q4,1529,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q1,1567,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q2,1609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q3,1568,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q4,1605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q1,1565,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q2,1579,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q3,1647,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q4,1625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q1,1657,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q2,1688,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q3,1736,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q4,1684,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q1,1799,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q2,1765,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q3,1715,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q4,1792,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q1,1743,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q2,1786,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q3,1762,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
